date,ticker,close,avg_traded_value_20d,liquid,rs_63d,rs_126d,volume_expansion,distance_52w_high,score,rank
2015-01-04,1150.SR,10.075,706773678.33,True,-0.177551,0.095109,0.87033,-0.227969,0.833333,1
2015-01-04,1211.SR,10.6,364761181.55,True,-0.155109,-0.011867,1.432138,-0.205844,0.8,2
2015-01-04,7010.SR,26.9,56403850.46,True,-0.094276,-0.003704,0.402111,-0.112211,0.766667,3
2015-01-04,1120.SR,14.151,314043368.65,True,-0.26667,-0.223049,0.608622,-0.327977,0.533333,4
2015-01-04,2010.SR,83.25,462526463.12,True,-0.365714,-0.276087,0.575108,-0.38674,0.366667,5
2015-01-04,2380.SR,13.1334,78636523.49,True,-0.433532,-0.404759,0.415292,-0.477714,0.2,6
2015-01-05,1150.SR,9.825,704939349.37,True,-0.18125,0.067935,0.542691,-0.247126,0.85,1
2015-01-05,7010.SR,26.6,56064698.44,True,-0.107383,-0.014815,0.288996,-0.122112,0.766667,2
2015-01-05,1211.SR,10.1333,379399672.2,True,-0.188323,-0.052653,0.975252,-0.240809,0.716667,3
2015-01-05,2010.SR,79.5,461495083.68,True,-0.394286,-0.317597,1.069672,-0.414365,0.466667,4
2015-01-05,1120.SR,13.8802,311996983.12,True,-0.280703,-0.237917,0.449591,-0.340837,0.466667,5
2015-01-05,2380.SR,12.3629,78281558.17,True,-0.460244,-0.441455,0.498435,-0.508355,0.233333,6
2015-01-06,1150.SR,9.775,710245254.2,True,-0.185417,0.071233,1.170815,-0.250958,0.85,1
2015-01-06,7010.SR,26.6,55663014.35,True,-0.113333,-0.011152,0.542276,-0.122112,0.766667,2
2015-01-06,1211.SR,10.1667,405983696.47,True,-0.195577,-0.044016,1.542268,-0.238307,0.716667,3
2015-01-06,1120.SR,13.9479,304997423.97,True,-0.27465,-0.237036,0.756107,-0.337622,0.5,4
2015-01-06,2010.SR,77.0,454512760.64,True,-0.41109,-0.330435,1.603008,-0.432781,0.466667,5
2015-01-06,2380.SR,12.4679,77932566.43,True,-0.447205,-0.423951,0.566266,-0.50418,0.2,6
2015-01-07,1150.SR,9.85,738858262.5,True,-0.100457,0.082418,1.342667,-0.245211,0.8,1
2015-01-07,1211.SR,10.4333,436331006.43,True,-0.090154,-0.013232,1.535713,-0.218333,0.8,2
2015-01-07,7010.SR,27.2,55210109.47,True,-0.035461,0.018727,0.373576,-0.10231,0.766667,3
2015-01-07,1120.SR,13.8802,306105179.44,True,-0.235074,-0.240739,1.206981,-0.340837,0.5,4
2015-01-07,2010.SR,78.25,452768100.46,True,-0.355967,-0.316594,1.375121,-0.423573,0.433333,5
2015-01-07,2380.SR,12.538,79025874.29,True,-0.38488,-0.418829,1.045967,-0.501392,0.2,6
2015-01-08,1150.SR,10.0,741415536.48,True,-0.132321,0.072386,1.152726,-0.233716,0.833333,1
2015-01-08,7010.SR,27.6,52102165.34,True,-0.041667,0.0,0.454518,-0.089109,0.766667,2
2015-01-08,1211.SR,10.4667,458548803.68,True,-0.113457,-0.027087,1.133639,-0.215831,0.733333,3
2015-01-08,1120.SR,14.2865,301028787.46,True,-0.227105,-0.215609,1.059715,-0.321542,0.5,4
2015-01-08,2010.SR,79.25,447749992.65,True,-0.362173,-0.31087,1.00535,-0.416206,0.333333,5
2015-01-08,2380.SR,13.0633,77417306.0,True,-0.367796,-0.400323,1.15405,-0.480502,0.333333,6
2015-01-11,1150.SR,10.025,740827866.5,True,-0.112832,0.072193,1.098863,-0.231801,0.833333,1
2015-01-11,7010.SR,27.7,50849016.76,True,-0.031469,-0.01773,0.253042,-0.085809,0.766667,2
2015-01-11,1211.SR,10.5,449434181.17,True,-0.098875,-0.026787,0.420351,-0.213336,0.666667,3
2015-01-11,1120.SR,14.8958,304311956.95,True,-0.185185,-0.197083,1.341882,-0.292606,0.6,4
2015-01-11,2010.SR,78.5,442669691.85,True,-0.340336,-0.323276,0.761454,-0.421731,0.316667,5
2015-01-11,2380.SR,13.1684,78519084.54,True,-0.333333,-0.399359,0.984632,-0.476322,0.316667,6
2015-01-12,1150.SR,10.0,766253259.53,True,-0.069767,0.075269,1.506886,-0.233716,0.866667,1
2015-01-12,1211.SR,10.9,471037682.33,True,-0.039123,0.024937,1.264123,-0.183368,0.833333,2
2015-01-12,7010.SR,27.5,50013112.89,True,0.0,-0.024823,0.248195,-0.092409,0.7,3
2015-01-12,1120.SR,15.3698,312849149.97,True,-0.140151,-0.171533,1.186577,-0.270096,0.533333,4
2015-01-12,2010.SR,77.0,435783616.6,True,-0.328976,-0.333333,0.818969,-0.432781,0.316667,5
2015-01-12,2380.SR,12.7831,79010985.37,True,-0.300767,-0.416933,0.748956,-0.491645,0.25,6
2015-01-13,1150.SR,10.05,797866725.56,True,0.0,0.074866,1.554433,-0.229885,0.866667,1
2015-01-13,1211.SR,11.1333,488123930.02,True,0.003253,0.028975,1.048295,-0.165889,0.8,2
2015-01-13,7010.SR,27.7,44673838.39,True,0.025926,-0.024648,0.573565,-0.085809,0.7,3
2015-01-13,1120.SR,15.6406,318079420.83,True,-0.086958,-0.160002,0.987842,-0.257236,0.5,4
2015-01-13,2010.SR,76.5,439944028.2,True,-0.293303,-0.344754,1.102852,-0.436464,0.383333,5
2015-01-13,2380.SR,12.7481,78980323.9,True,-0.266127,-0.427674,0.68968,-0.493037,0.25,6
2015-01-14,1150.SR,10.25,805324840.63,True,-0.068182,0.084656,1.535545,-0.214559,0.866667,1
2015-01-14,1211.SR,11.4667,512553566.35,True,0.021942,0.053789,1.187158,-0.14091,0.833333,2
2015-01-14,7010.SR,28.6,41356413.98,True,0.036232,0.010601,0.889123,-0.056106,0.8,3
2015-01-14,1120.SR,15.3698,313699005.03,True,-0.106298,-0.183452,0.737945,-0.270096,0.466667,4
2015-01-14,2010.SR,77.25,430399782.72,True,-0.289655,-0.342553,0.842855,-0.430939,0.316667,5
2015-01-14,2380.SR,13.1334,78971516.84,True,-0.281606,-0.417699,0.722252,-0.477714,0.216667,6
2015-01-15,1150.SR,10.025,824132694.94,True,-0.144989,0.060847,1.034435,-0.231801,0.833333,1
2015-01-15,7010.SR,28.9,39315348.6,True,0.039568,0.024823,0.894503,-0.046205,0.8,2
2015-01-15,1211.SR,11.2,516289401.37,True,-0.009989,0.014897,0.779261,-0.160892,0.633333,3
2015-01-15,1120.SR,14.625,300827120.63,True,-0.159531,-0.220216,1.121881,-0.305467,0.6,4
2015-01-15,2010.SR,78.5,436940394.62,True,-0.289593,-0.331915,0.980196,-0.421731,0.4,5
2015-01-15,2380.SR,13.0633,79141361.63,True,-0.293563,-0.438254,0.944279,-0.480502,0.233333,6
