date,ticker,open,high,low,close,volume,traded_value
2010-03-03,1120.SR,18.8131,19.0631,18.7506,18.9381,4104986,77740635.37
2010-03-03,1150.SR,6.35,6.375,6.35,6.35,38979514,247519913.9
2010-03-03,1211.SR,5.3328,5.5178,5.302,5.5024,22047944,121316607.07
2010-03-03,2010.SR,88.75,89.5,88.75,89.25,895644,79936227.0
2010-03-03,2380.SR,23.2548,23.3949,23.1147,23.2548,2907293,67608517.26
2010-03-04,1120.SR,18.9381,18.9381,18.9381,18.9381,0,0.0
2010-03-04,1150.SR,6.35,6.35,6.35,6.35,0,0.0
2010-03-04,1211.SR,5.5024,5.5024,5.5024,5.5024,0,0.0
2010-03-04,2010.SR,89.25,89.25,89.25,89.25,0,0.0
2010-03-04,2380.SR,23.2548,23.2548,23.2548,23.2548,0,0.0
2010-03-04,7010.SR,17.64,17.72,17.6,17.68,1535240,27143043.2
2010-03-07,1120.SR,19.1256,19.5006,19.1256,19.2506,6543928,125974540.36
2010-03-07,1150.SR,6.4,6.4,6.35,6.375,69731544,444538593.0
2010-03-07,1211.SR,5.5024,5.6257,5.5024,5.5178,30901414,170507822.17
2010-03-07,2010.SR,91.0,92.0,91.0,91.75,2578276,236556823.0
2010-03-07,2380.SR,23.8151,24.3755,23.8151,24.2354,6011370,145687956.5
2010-03-07,7010.SR,17.68,17.76,17.64,17.76,1808842,32125033.92
2010-03-08,1120.SR,19.2506,19.3756,19.1881,19.1881,3304883,63414425.49
2010-03-08,1150.SR,6.375,6.4,6.35,6.4,46289024,296249753.6
2010-03-08,1211.SR,5.5332,5.564,5.5024,5.5178,14528569,80165738.03
2010-03-08,2010.SR,91.75,92.5,91.5,92.25,1242551,114625329.75
2010-03-08,2380.SR,24.2354,24.4455,24.1654,24.3755,2635792,64248747.9
2010-03-08,7010.SR,17.68,17.88,17.68,17.84,2270710,40509466.4
2010-03-09,1120.SR,19.2506,19.5006,19.2506,19.3756,5426142,105134756.94
2010-03-09,1150.SR,6.375,6.4,6.35,6.375,41092073,261961965.38
