ticker,days_in_top3,days_in_top5,days_in_top10,first_top3_date,last_top3_date
1120.SR,1766,2500,2857,2015-02-05,2026-02-24
1150.SR,1204,2187,2850,2015-01-04,2026-07-01
1180.SR,862,1637,2465,2015-11-10,2026-06-23
1211.SR,1339,2013,2573,2015-01-04,2026-06-18
2010.SR,814,1564,2840,2015-04-22,2026-05-18
2082.SR,301,384,797,2022-12-21,2026-06-21
2222.SR,260,644,1329,2021-12-01,2026-06-30
2380.SR,622,1008,1966,2015-03-08,2026-07-01
7010.SR,1109,1813,2647,2015-01-04,2026-07-01
7203.SR,335,430,768,2023-02-20,2025-03-03
