regime,start_date,end_date,duration_days,start_breadth,end_breadth,start_above_tasi_sma200,end_above_tasi_sma200
Risk-On,2014-10-22,2014-10-23,2,0.666667,0.666667,True,True
Risk-Off,2014-10-26,2015-04-30,134,0.5,0.5,True,True
Risk-On,2015-05-03,2015-05-06,4,0.666667,0.666667,True,True
Risk-Off,2015-05-07,2015-05-11,3,0.5,0.333333,True,True
Risk-On,2015-05-12,2015-06-23,31,0.666667,0.666667,True,True
Risk-Off,2015-06-24,2015-06-24,1,0.5,0.5,True,True
Risk-On,2015-06-25,2015-06-25,1,0.666667,0.666667,True,True
Risk-Off,2015-06-28,2015-07-08,9,0.5,0.166667,True,False
Risk-On,2015-07-09,2015-08-03,17,0.666667,0.666667,True,True
Risk-Off,2015-08-04,2016-05-02,192,0.333333,0.428571,True,True
Risk-On,2016-05-03,2016-05-03,1,0.571429,0.571429,True,True
Risk-Off,2016-05-04,2016-05-11,6,0.428571,0.428571,False,True
Risk-On,2016-05-12,2016-05-12,1,0.571429,0.571429,True,True
Risk-Off,2016-05-15,2016-07-11,41,0.5,0.428571,True,False
Risk-On,2016-07-12,2016-07-21,7,0.714286,0.571429,True,True
Risk-Off,2016-07-24,2016-10-25,65,0.428571,0.428571,False,False
Risk-On,2016-10-26,2018-09-05,482,0.714286,0.714286,True,True
Risk-Off,2018-09-06,2018-09-06,1,0.428571,0.428571,False,False
Risk-On,2018-09-09,2018-09-09,1,0.571429,0.571429,True,True
Risk-Off,2018-09-10,2018-09-19,8,0.428571,0.571429,False,False
Risk-On,2018-09-20,2018-10-10,15,0.714286,0.714286,True,True
Risk-Off,2018-10-11,2018-10-30,14,0.142857,0.714286,False,False
Risk-On,2018-10-31,2018-10-31,1,0.714286,0.714286,True,True
Risk-Off,2018-11-01,2018-12-16,32,0.714286,0.571429,False,False
Risk-On,2018-12-17,2018-12-17,1,0.714286,0.714286,True,True
Risk-Off,2018-12-18,2019-01-03,13,0.714286,0.571429,False,False
Risk-On,2019-01-06,2019-05-26,101,0.571429,0.571429,True,True
Risk-Off,2019-05-27,2019-05-27,1,0.571429,0.571429,False,False
Risk-On,2019-05-28,2019-05-28,1,0.571429,0.571429,True,True
Risk-Off,2019-05-29,2019-05-29,1,0.571429,0.571429,False,False
Risk-On,2019-05-30,2019-07-31,45,0.571429,0.571429,True,True
Risk-Off,2019-08-01,2020-08-17,262,0.571429,0.571429,False,False
Risk-On,2020-08-18,2020-10-29,52,0.571429,0.625,True,True
Risk-Off,2020-11-01,2020-11-01,1,0.5,0.5,True,True
Risk-On,2020-11-02,2021-11-28,270,0.625,0.625,True,True
Risk-Off,2021-11-29,2021-12-02,4,0.5,0.5,True,True
Risk-On,2021-12-05,2021-12-06,2,0.625,0.625,True,True
Risk-Off,2021-12-07,2021-12-22,12,0.5,0.5,True,True
Risk-On,2021-12-23,2021-12-23,1,0.625,0.625,True,True
Risk-Off,2021-12-26,2021-12-29,4,0.5,0.5,True,True
Risk-On,2021-12-30,2021-12-30,1,0.625,0.625,True,True
Risk-Off,2022-01-02,2022-01-02,1,0.5,0.5,True,True
Risk-On,2022-01-03,2022-01-03,1,0.625,0.625,True,True
Risk-Off,2022-01-04,2022-01-04,1,0.5,0.5,True,True
Risk-On,2022-01-05,2022-01-05,1,0.625,0.625,True,True
Risk-Off,2022-01-06,2022-01-06,1,0.5,0.5,True,True
Risk-On,2022-01-09,2022-06-12,105,0.625,0.75,True,True
Risk-Off,2022-06-13,2022-07-25,27,0.5,0.5,True,True
Risk-On,2022-07-26,2022-08-30,26,0.625,0.625,True,True
Risk-Off,2022-08-31,2023-04-17,161,0.5,0.5,True,True
Risk-On,2023-04-25,2023-05-01,5,0.6,0.6,True,True
Risk-Off,2023-05-02,2023-05-09,6,0.4,0.5,True,True
Risk-On,2023-05-10,2023-05-14,3,0.6,0.6,True,True
Risk-Off,2023-05-15,2023-06-11,20,0.5,0.5,True,True
Risk-On,2023-06-12,2023-06-12,1,0.6,0.6,True,True
Risk-Off,2023-06-13,2023-06-15,3,0.5,0.5,True,True
Risk-On,2023-06-18,2023-06-18,1,0.6,0.6,True,True
Risk-Off,2023-06-19,2023-06-19,1,0.5,0.5,True,True
Risk-On,2023-06-20,2023-06-20,1,0.6,0.6,True,True
Risk-Off,2023-06-21,2023-07-16,13,0.5,0.5,True,True
Risk-On,2023-07-17,2023-08-01,12,0.6,0.6,True,True
Risk-Off,2023-08-02,2023-08-29,20,0.5,0.5,True,True
Risk-On,2023-08-30,2023-08-30,1,0.6,0.6,True,True
Risk-Off,2023-08-31,2023-11-27,62,0.4,0.5,True,True
Risk-On,2023-11-28,2024-04-22,99,0.6,0.6,True,True
Risk-Off,2024-04-23,2024-04-28,4,0.5,0.4,True,True
Risk-On,2024-04-29,2024-05-06,6,0.7,0.6,True,True
Risk-Off,2024-05-07,2024-07-17,47,0.5,0.5,True,True
Risk-On,2024-07-18,2024-07-22,3,0.6,0.6,True,True
Risk-Off,2024-07-23,2024-07-23,1,0.5,0.5,True,True
Risk-On,2024-07-24,2024-07-24,1,0.6,0.6,True,True
Risk-Off,2024-07-25,2024-07-25,1,0.5,0.5,True,True
Risk-On,2024-07-28,2024-07-28,1,0.6,0.6,True,True
Risk-Off,2024-07-29,2024-07-31,3,0.5,0.5,True,True
Risk-On,2024-08-01,2024-08-01,1,0.6,0.6,True,True
Risk-Off,2024-08-04,2024-09-29,40,0.3,0.5,False,True
Risk-On,2024-09-30,2024-09-30,1,0.6,0.6,True,True
Risk-Off,2024-10-01,2024-10-09,7,0.5,0.4,True,True
Risk-On,2024-10-10,2024-10-16,5,0.6,0.6,True,True
Risk-Off,2024-10-17,2024-10-20,2,0.5,0.5,True,True
Risk-On,2024-10-21,2024-11-17,20,0.6,0.6,True,True
Risk-Off,2024-11-18,2024-12-05,14,0.5,0.5,True,True
Risk-On,2024-12-08,2024-12-10,3,0.6,0.6,True,True
Risk-Off,2024-12-11,2024-12-18,6,0.5,0.5,True,True
Risk-On,2024-12-19,2024-12-19,1,0.6,0.6,True,True
Risk-Off,2024-12-22,2024-12-29,6,0.5,0.5,True,True
Risk-On,2024-12-30,2024-12-30,1,0.6,0.6,True,True
