date,ticker,close,sma200,above_sma200
2014-10-22,1120.SR,17.9427,18.4912,0
2014-10-22,1150.SR,11.9,9.7379,1
2014-10-22,1211.SR,11.4055,11.2107,1
2014-10-22,2010.SR,116.0,119.1588,0
2014-10-22,2380.SR,21.3636,21.0981,1
2014-10-22,7010.SR,28.3,26.9315,1
2014-10-23,1120.SR,17.875,18.4893,0
2014-10-23,1150.SR,11.75,9.7593,1
2014-10-23,1211.SR,11.4363,11.2174,1
2014-10-23,2010.SR,115.5,119.1688,0
2014-10-23,2380.SR,21.2235,21.1153,1
2014-10-23,7010.SR,28.2,26.9615,1
2014-10-26,1120.SR,18.2135,18.4894,0
2014-10-26,1150.SR,12.15,9.7828,1
2014-10-26,1211.SR,12.1145,11.2281,1
2014-10-26,2010.SR,114.75,119.1762,0
2014-10-26,2380.SR,21.0834,21.1317,0
2014-10-26,7010.SR,28.6,26.9925,1
2014-10-27,1120.SR,17.875,18.4876,0
2014-10-27,1150.SR,11.9,9.805,1
2014-10-27,1211.SR,11.9912,11.2379,1
2014-10-27,2010.SR,113.25,119.175,0
2014-10-27,2380.SR,20.383,21.1444,0
2014-10-27,7010.SR,29.3,27.028,1
2014-10-28,1120.SR,17.9427,18.4866,0
2014-10-28,1150.SR,11.875,9.8262,1
2014-10-28,1211.SR,11.8987,11.247,1
2014-10-28,2010.SR,113.0,119.175,0
2014-10-28,2380.SR,20.1728,21.1577,0
2014-10-28,7010.SR,30.3,27.068,1
2014-10-29,1120.SR,17.875,18.4863,0
2014-10-29,1150.SR,11.9,9.8476,1
2014-10-29,1211.SR,11.7446,11.2546,1
2014-10-29,2010.SR,112.0,119.1712,0
2014-10-29,2380.SR,19.7526,21.1601,0
2014-10-29,7010.SR,29.9,27.1055,1
2014-10-30,1120.SR,17.7396,18.4863,0
2014-10-30,1150.SR,11.9,9.8688,1
2014-10-30,1211.SR,11.837,11.2617,1
2014-10-30,2010.SR,110.75,119.1475,0
2014-10-30,2380.SR,19.8927,21.1538,0
2014-10-30,7010.SR,29.8,27.1395,1
2014-11-02,1120.SR,17.8073,18.4866,0
2014-11-02,1150.SR,12.025,9.8894,1
2014-11-02,1211.SR,11.8987,11.2695,1
2014-11-02,2010.SR,111.75,119.12,0
2014-11-02,2380.SR,20.1028,21.1444,0
2014-11-02,7010.SR,29.6,27.172,1
2014-11-03,1120.SR,18.0104,18.4866,0
2014-11-03,1150.SR,12.175,9.9108,1
2014-11-03,1211.SR,11.8062,11.2774,1
2014-11-03,2010.SR,112.25,119.1038,0
2014-11-03,2380.SR,20.0327,21.1345,0
2014-11-03,7010.SR,29.6,27.203,1
2014-11-04,1120.SR,17.6042,18.4846,0
2014-11-04,1150.SR,11.65,9.9293,1
2014-11-04,1211.SR,11.2205,11.2826,0
2014-11-04,2010.SR,106.0,119.055,0
2014-11-04,2380.SR,18.6319,21.1167,0
2014-11-04,7010.SR,28.9,27.2315,1
2014-11-05,1120.SR,17.4687,18.482,0
2014-11-05,1150.SR,11.4,9.9466,1
2014-11-05,1211.SR,11.0972,11.2873,0
2014-11-05,2010.SR,102.75,118.99,0
2014-11-05,2380.SR,18.3517,21.0974,0
2014-11-05,7010.SR,28.4,27.2575,1
2014-11-06,1120.SR,17.4687,18.479,0
2014-11-06,1150.SR,11.675,9.9652,1
2014-11-06,1211.SR,11.128,11.2925,0
2014-11-06,2010.SR,105.0,118.9275,0
2014-11-06,2380.SR,18.2116,21.0785,0
2014-11-06,7010.SR,28.5,27.282,1
2014-11-09,1120.SR,17.5365,18.4767,0
2014-11-09,1150.SR,11.575,9.9835,1
2014-11-09,1211.SR,11.0972,11.2973,0
2014-11-09,2010.SR,104.5,118.8612,0
2014-11-09,2380.SR,18.1415,21.0621,0
2014-11-09,7010.SR,28.4,27.3055,1
2014-11-10,1120.SR,17.6719,18.4753,0
2014-11-10,1150.SR,11.625,10.0024,1
2014-11-10,1211.SR,11.0972,11.3024,0
2014-11-10,2010.SR,105.5,118.8138,0
2014-11-10,2380.SR,18.2116,21.0522,0
2014-11-10,7010.SR,28.4,27.3275,1
2014-11-11,1120.SR,17.6719,18.4743,0
2014-11-11,1150.SR,12.225,10.0245,1
2014-11-11,1211.SR,11.0356,11.3084,0
2014-11-11,2010.SR,104.25,118.7638,0
2014-11-11,2380.SR,17.8614,21.0365,0
2014-11-11,7010.SR,27.8,27.349,1
2014-11-12,1120.SR,17.6719,18.473,0
2014-11-12,1150.SR,12.275,10.0469,1
2014-11-12,1211.SR,11.2205,11.3145,0
2014-11-12,2010.SR,104.75,118.7288,0
2014-11-12,2380.SR,18.3517,21.0232,0
2014-11-12,7010.SR,27.8,27.364,1
2014-11-13,1120.SR,17.4687,18.471,0
2014-11-13,1150.SR,11.85,10.0668,1
2014-11-13,1211.SR,11.0972,11.3215,0
2014-11-13,2010.SR,103.75,118.68,0
2014-11-13,2380.SR,18.2116,21.0106,0
2014-11-13,7010.SR,27.6,27.381,1
2014-11-16,1120.SR,17.1979,18.4676,0
2014-11-16,1150.SR,11.8,10.0859,1
2014-11-16,1211.SR,10.7667,11.3266,0
2014-11-16,2010.SR,101.5,118.6175,0
2014-11-16,2380.SR,17.7913,20.9997,0
2014-11-16,7010.SR,27.6,27.399,1
2014-11-17,1120.SR,16.9271,18.4628,0
2014-11-17,1150.SR,11.475,10.1036,1
2014-11-17,1211.SR,10.1667,11.3295,0
2014-11-17,2010.SR,98.75,118.5412,0
2014-11-17,2380.SR,17.1259,20.9897,0
2014-11-17,7010.SR,27.2,27.4155,0
2014-11-18,1120.SR,16.9271,18.4597,0
2014-11-18,1150.SR,11.575,10.1212,1
2014-11-18,1211.SR,10.8667,11.3365,0
2014-11-18,2010.SR,101.0,118.4812,0
2014-11-18,2380.SR,16.9508,20.9855,0
2014-11-18,7010.SR,27.5,27.434,1
2014-11-19,1120.SR,16.9948,18.4571,0
2014-11-19,1150.SR,11.5,10.1381,1
2014-11-19,1211.SR,11.0333,11.3447,0
2014-11-19,2010.SR,101.0,118.4275,0
2014-11-19,2380.SR,17.0208,20.9796,0
2014-11-19,7010.SR,27.5,27.453,1
2014-11-20,1120.SR,16.9271,18.4533,0
2014-11-20,1150.SR,11.475,10.1546,1
2014-11-20,1211.SR,10.9,11.352,0
2014-11-20,2010.SR,101.5,118.3725,0
2014-11-20,2380.SR,17.0558,20.971,0
2014-11-20,7010.SR,27.4,27.471,0
2014-11-23,1120.SR,16.9948,18.4486,0
2014-11-23,1150.SR,11.875,10.1725,1
2014-11-23,1211.SR,10.8333,11.3595,0
2014-11-23,2010.SR,103.75,118.3338,0
2014-11-23,2380.SR,17.7913,20.9685,0
2014-11-23,7010.SR,27.5,27.4865,1
2014-11-24,1120.SR,16.8594,18.4423,0
2014-11-24,1150.SR,11.7,10.1875,1
2014-11-24,1211.SR,10.5,11.3648,0
2014-11-24,2010.SR,103.0,118.2838,0
2014-11-24,2380.SR,17.371,20.9633,0
2014-11-24,7010.SR,27.2,27.4975,0
2014-11-25,1120.SR,16.5885,18.4352,0
2014-11-25,1150.SR,11.475,10.2014,1
2014-11-25,1211.SR,10.1333,11.3677,0
2014-11-25,2010.SR,98.75,118.2175,0
2014-11-25,2380.SR,17.0208,20.957,0
2014-11-25,7010.SR,26.8,27.508,0
2014-11-26,1120.SR,16.4531,18.4281,0
2014-11-26,1150.SR,11.0,10.2132,1
2014-11-26,1211.SR,9.9,11.369,0
2014-11-26,2010.SR,97.5,118.1462,0
2014-11-26,2380.SR,16.4955,20.9491,0
2014-11-26,7010.SR,26.7,27.519,0
2014-11-27,1120.SR,16.4531,18.421,0
2014-11-27,1150.SR,11.05,10.2252,1
2014-11-27,1211.SR,10.0,11.371,0
2014-11-27,2010.SR,98.0,118.08,0
2014-11-27,2380.SR,16.5305,20.9418,0
2014-11-27,7010.SR,26.7,27.531,0
2014-11-30,1120.SR,15.9792,18.4118,0
2014-11-30,1150.SR,10.375,10.2335,1
2014-11-30,1211.SR,9.6,11.3708,0
2014-11-30,2010.SR,88.25,117.965,0
2014-11-30,2380.SR,14.8845,20.9265,0
2014-11-30,7010.SR,26.2,27.541,0
2014-12-01,1120.SR,16.1146,18.403,0
2014-12-01,1150.SR,10.925,10.2445,1
2014-12-01,1211.SR,9.9,11.3705,0
2014-12-01,2010.SR,89.0,117.8512,0
2014-12-01,2380.SR,14.6743,20.9088,0
2014-12-01,7010.SR,26.7,27.5515,0
2014-12-02,1120.SR,16.0469,18.3939,0
2014-12-02,1150.SR,10.975,10.256,1
2014-12-02,1211.SR,9.9333,11.3702,0
2014-12-02,2010.SR,89.5,117.74,0
2014-12-02,2380.SR,14.8494,20.8917,0
2014-12-02,7010.SR,26.5,27.5615,0
2014-12-03,1120.SR,16.3854,18.3877,0
2014-12-03,1150.SR,10.975,10.2676,1
2014-12-03,1211.SR,9.7,11.3685,0
2014-12-03,2010.SR,91.5,117.64,0
2014-12-03,2380.SR,14.8845,20.8747,0
2014-12-03,7010.SR,26.6,27.5725,0
2014-12-04,1120.SR,16.5885,18.3825,0
2014-12-04,1150.SR,11.05,10.2795,1
2014-12-04,1211.SR,10.4,11.3701,0
2014-12-04,2010.SR,94.25,117.5538,0
2014-12-04,2380.SR,15.3748,20.8601,0
2014-12-04,7010.SR,27.2,27.586,0
2014-12-07,1120.SR,16.25,18.3756,0
2014-12-07,1150.SR,11.025,10.2915,1
2014-12-07,1211.SR,10.7,11.3732,0
2014-12-07,2010.SR,93.0,117.46,0
2014-12-07,2380.SR,15.1296,20.8423,0
2014-12-07,7010.SR,27.1,27.598,0
2014-12-08,1120.SR,15.7083,18.3654,0
2014-12-08,1150.SR,10.725,10.3016,1
2014-12-08,1211.SR,10.5667,11.3761,0
2014-12-08,2010.SR,90.0,117.3438,0
2014-12-08,2380.SR,14.7094,20.8223,0
2014-12-08,7010.SR,26.8,27.6095,0
2014-12-09,1120.SR,15.3698,18.3538,0
2014-12-09,1150.SR,10.525,10.31,1
2014-12-09,1211.SR,10.8667,11.3811,0
2014-12-09,2010.SR,86.25,117.2138,0
2014-12-09,2380.SR,14.2891,20.8013,0
2014-12-09,7010.SR,26.4,27.619,0
2014-12-10,1120.SR,15.0312,18.3402,0
2014-12-10,1150.SR,10.3,10.3172,0
2014-12-10,1211.SR,10.3,11.3831,0
2014-12-10,2010.SR,81.25,117.0525,0
2014-12-10,2380.SR,13.5186,20.7778,0
2014-12-10,7010.SR,26.0,27.6265,0
2014-12-11,1120.SR,14.7604,18.3253,0
2014-12-11,1150.SR,10.525,10.3258,1
2014-12-11,1211.SR,10.3667,11.3852,0
2014-12-11,2010.SR,81.75,116.8938,0
2014-12-11,2380.SR,13.3085,20.753,0
2014-12-11,7010.SR,25.5,27.6315,0
2014-12-14,1120.SR,14.2865,18.3086,0
2014-12-14,1150.SR,9.95,10.3315,0
2014-12-14,1211.SR,9.4333,11.3821,0
2014-12-14,2010.SR,80.5,116.725,0
2014-12-14,2380.SR,12.4329,20.7234,0
2014-12-14,7010.SR,24.8,27.6335,0
2014-12-15,1120.SR,14.2865,18.2912,0
2014-12-15,1150.SR,9.55,10.3342,0
2014-12-15,1211.SR,8.8333,11.3759,0
2014-12-15,2010.SR,78.0,116.5412,0
2014-12-15,2380.SR,11.9776,20.6915,0
2014-12-15,7010.SR,24.0,27.6305,0
2014-12-16,1120.SR,13.2708,18.2688,0
2014-12-16,1150.SR,8.575,10.3323,0
2014-12-16,1211.SR,7.9667,11.3654,0
2014-12-16,2010.SR,72.5,116.3288,0
2014-12-16,2380.SR,10.7869,20.653,0
2014-12-16,7010.SR,22.5,27.6185,0
2014-12-17,1120.SR,13.7448,18.2485,0
2014-12-17,1150.SR,9.05,10.3329,0
2014-12-17,1211.SR,8.2333,11.3562,0
2014-12-17,2010.SR,76.0,116.1362,0
2014-12-17,2380.SR,10.997,20.6138,0
2014-12-17,7010.SR,24.4,27.6155,0
2014-12-18,1120.SR,15.1667,18.2353,0
2014-12-18,1150.SR,9.9,10.3379,0
2014-12-18,1211.SR,9.1333,11.3495,0
2014-12-18,2010.SR,83.5,115.9838,0
2014-12-18,2380.SR,12.0477,20.5794,0
2014-12-18,7010.SR,26.9,27.6255,0
2014-12-21,1120.SR,14.8958,18.2204,0
2014-12-21,1150.SR,10.65,10.3464,1
2014-12-21,1211.SR,9.5,11.3436,0
2014-12-21,2010.SR,90.25,115.8625,0
2014-12-21,2380.SR,13.0633,20.5506,0
2014-12-21,7010.SR,27.4,27.638,0
2014-12-22,1120.SR,14.6927,18.2051,0
2014-12-22,1150.SR,10.5,10.3544,1
2014-12-22,1211.SR,9.2667,11.3356,0
2014-12-22,2010.SR,92.25,115.75,0
2014-12-22,2380.SR,13.0283,20.5232,0
2014-12-22,7010.SR,27.4,27.6505,0
2014-12-23,1120.SR,14.4896,18.1894,0
2014-12-23,1150.SR,10.5,10.363,1
2014-12-23,1211.SR,9.4333,11.3279,0
